viral_NCBI_refname,description
NC_038391.1," Chimpanzee stool avian-like circovirus Chimp17, complete genome"
NC_046961.1," Chinese broad-headed pond turtle arterivirus strain WHWGC150683 1ab protein, hypothetical protein, and putative glycoprotein genes, complete cds"
NC_002359.1," Chinese wheat mosaic virus RNA1, complete sequence"
NC_002356.1," Chinese wheat mosaic virus RNA 2, complete sequence"
NC_018455.1," Chinese yam necrotic mosaic virus, complete genome"
NC_038443.1," Chino del tomate Amazonas virus isolate AM10 segment DNA-A, complete sequence"
NC_003830.1," Chino del tomate virus DNA A, complete sequence"
NC_003831.1," Chino del tomate virus DNA B, complete sequence"
NC_026812.1," Chinook salmon bafinivirus isolate NIDO, complete genome"
NC_038543.1," Chipmunk parvovirus NS1, NS2, VP1, and VP2 genes, complete cds"
NC_040501.1," Chiqui virus strain CoB 38d segment 1, complete sequence"
NC_040506.1," Chiqui virus strain CoB 38d segment 2, complete sequence"
NC_040502.1," Chiqui virus strain CoB 38d segment 3, complete sequence"
NC_040503.1," Chiqui virus strain CoB 38d segment 4, complete sequence"
NC_040504.1," Chiqui virus strain CoB 38d segment 5, complete sequence"
NC_040500.1," Chiqui virus strain CoB 38d segment 6, complete sequence"
NC_040499.1," Chiqui virus strain CoB 38d segment 7, complete sequence"
NC_040498.1," Chiqui virus strain CoB 38d segment 8, complete sequence"
NC_040505.1," Chiqui virus strain CoB 38d segment 9, complete sequence"
NC_002194.1," Chlamydia phage Chp2, complete genome"
NC_007461.1," Chlamydia phage 4, complete genome"
NC_001998.1," Guinea pig Chlamydia phage, complete genome"
NC_001741.1," Chlamydia phage Chp1, complete genome"
NC_002180.1," Chlamydia phage phiCPAR39, complete sequence"
NC_001466.1," Chloris striate mosaic virus, complete genome"
NC_019844.1," Chlorocebus pygerythrus polyomavirus 1 DNA, complete genome, isolate: VMS96"
NC_025896.1," Chlorocebus pygerythrus polyomavirus 2 DNA, complete genome, isolate: VMK96"
NC_025898.1," Chlorocebus pygerythrus polyomavirus 3 DNA, complete genome, isolate: VMS95/VMS97"
NC_027553.1," Chobar Gorge virus isolate NEP1970/01 segment 1 RNA-dependent RNA polymerase (VP1) gene, complete cds"
NC_027554.1," Chobar Gorge virus isolate NEP1970/01 segment 2 inner core protein (VP2) gene, complete cds"
NC_027555.1," Chobar Gorge virus isolate NEP1970/01 segment 3 capping enzyme (VP3) gene, complete cds"
NC_027556.1," Chobar Gorge virus isolate NEP1970/01 segment 4 outer capsid protein (VP4) gene, complete cds"
NC_027557.1," Chobar Gorge virus isolate NEP1970/01 segment 5 tubule protein (NS1) gene, complete cds"
NC_027558.1," Chobar Gorge virus isolate NEP1970/01 segment 6 outer capsid protein 2 (VP5) gene, complete cds"
NC_027559.1," Chobar Gorge virus isolate NEP1970/01 segment 7 major core protein (VP7) gene, complete cds"
NC_027560.1," Chobar Gorge virus isolate NEP1970/01 segment 8 viral inclusion body protein (NS2) gene, complete cds"
NC_027561.1," Chobar Gorge virus isolate NEP1970/01 segment 9 helicase (VP6) and NS4 protein (NS4) genes, complete cds"
NC_027562.1," Chobar Gorge virus isolate NEP1970/01 segment 10 NS3 protein (NS3) and NS3a protein (NS3a) genes, complete cds"
NC_016443.1," Chocolate lily virus A RNA1, complete genome"
NC_016444.1," Chocolate lily virus A RNA2, complete genome"
NC_038916.1," Chondrostereum purpureum cryptic virus 1, segment RNA1"
NC_038915.1," Chondrostereum purpureum cryptic virus 1, segment RNA2"
NC_021248.1," Choristoneura biennis entomopoxvirus 'L', complete genome"
NC_005137.2," Choristoneura fumiferana DEF MNPV, complete genome"
NC_008168.1," Choristoneura fumiferana granulovirus, complete genome"
NC_004778.3," Choristoneura fumiferana multiple nucleopolyhedrovirus, complete genome"
NC_023177.1," Choristoneura murinana alphabaculovirus strain Darmstadt, complete genome"
NC_021249.1," Choristoneura rosaceana entomopoxvirus 'L', complete genome"
NC_021924.1," Choristoneura rosaceana alphabaculovirus, complete genome"
NC_010711.1," Chronic bee paralysis virus RNA 1, complete genome"
NC_010712.1," Chronic bee paralysis virus RNA 2, complete genome"
NC_003540.1," Chrysanthemum chlorotic mottle viroid, complete genome"
NC_027718.1," Chrysanthemum stem necrosis virus isolate PD4412741 segment L, complete sequence"
NC_027720.1," Chrysanthemum stem necrosis virus isolate PD4412741 segment M, complete sequence"
NC_027719.1," Chrysanthemum stem necrosis virus isolate PD4412741 segment S, complete sequence"
NC_002015.1," Chrysanthemum stunt viroid, complete genome"
NC_009087.2," Chrysanthemum virus B, complete genome"
NC_040703.1," Chrysanthemum virus R strain BJ, complete genome"
NC_028094.1," Chrysochromulina ericina virus isolate CeV-01B, complete genome"
NC_007151.1," Chrysodeixis chalcites nucleopolyhedrovirus, complete genome"
NC_007582.1," Chum salmon reovirus CS segment 1, complete sequence"
NC_007583.1," Chum salmon reovirus CS segment 2, complete sequence"
NC_007584.1," Chum salmon reovirus CS segment 3, complete sequence"
NC_007585.1," Chum salmon reovirus CS segment 4, complete genome"
NC_007586.1," Chum salmon reovirus CS segment 5, complete genome"
NC_007592.1," Chum salmon reovirus CS segment 6, complete genome"
NC_007587.1," Chum salmon reovirus CS segment 7, complete genome"
NC_007588.1," Chum salmon reovirus CS segment 8, complete genome"
NC_007589.1," Chum salmon reovirus CS segment 9, complete genome"
NC_007590.1," Chum salmon reovirus CS segment 10, complete genome"
NC_007591.1," Chum salmon reovirus CS segment 11, complete genome"
NC_023420.2," Cimodo virus strain C74-CI-2004 segment 1, complete sequence"
NC_024916.1," Cimodo virus strain C74-CI-2004 segment 2, complete sequence"
NC_024917.1," Cimodo virus strain C74-CI-2004 segment 3, complete sequence"
NC_024918.1," Cimodo virus strain C74-CI-2004 segment 4, complete sequence"
NC_024919.1," Cimodo virus strain C74-CI-2004 segment 5, complete sequence"
NC_024920.1," Cimodo virus strain C74-CI-2004 segment 6, complete sequence"
NC_024910.1," Cimodo virus strain C74-CI-2004 segment 7, complete sequence"
NC_024911.1," Cimodo virus strain C74-CI-2004 segment 8, complete sequence"
NC_024912.1," Cimodo virus strain C74-CI-2004 segment 9, complete sequence"
NC_024913.1," Cimodo virus strain C74-CI-2004 segment 10, complete sequence"
NC_024914.1," Cimodo virus strain C74-CI-2004 segment 11, complete sequence"
NC_024915.1," Cimodo virus strain C74-CI-2004 segment 12, complete sequence"
NC_023888.1," Circo-like virus-Brazil hs1, complete genome"
NC_025715.1," Circoviridae 10 LDMD-2013, complete genome"
NC_025716.1," Circoviridae 11 LDMD-2013, complete genome"
NC_025717.1," Circoviridae 13 LDMD-2013, complete genome"
NC_025718.1," Circoviridae 14 LDMD-2013, complete genome"
NC_025719.1," Circoviridae 15 LDMD-2013, complete genome"
NC_025720.1," Circoviridae 16 LDMD-2013, complete genome"
NC_025722.1," Circoviridae 18 LDMD-2013, complete genome"
NC_025723.1," Circoviridae 19 LDMD-2013, complete genome"
NC_025705.1," Circoviridae 1 LDMD-2013, complete genome"
NC_025724.1," Circoviridae 21 LDMD-2013, complete genome"
NC_025706.1," Circoviridae 2 LDMD-2013, complete genome"
NC_025708.1," Circoviridae 3 LDMD-2013, complete genome"
NC_025709.1," Circoviridae 4 LDMD-2013, complete genome"
NC_025710.1," Circoviridae 5 LDMD-2013, complete genome"
NC_025711.1," Circoviridae 6 LDMD-2013, complete genome"
NC_025712.1," Circoviridae 7 LDMD-2013, complete genome"
NC_025713.1," Circoviridae 8 LDMD-2013, complete genome"
NC_025714.1," Circoviridae 9 LDMD-2013, complete genome"
NC_039054.1," Circoviridae bovine stool/BK/KOR/2011 isolate CP11-49-3, complete genome"
NC_025216.1," Circoviridae SFBeef, complete genome"
NC_013020.1," Circovirus-like genome BBC-A, complete genome"
NC_013028.1," Circovirus-like genome CB-A, complete genome"
NC_013029.1," Circovirus-like genome CB-B, complete genome"
NC_030460.1," Circovirus-like genome DCCV-10, complete genome"
NC_030464.1," Circovirus-like genome DCCV-11, complete genome"
NC_030468.1," Circovirus-like genome DCCV-12, complete genome"
NC_030469.1," Circovirus-like genome DCCV-13, complete genome"
NC_030463.1," Circovirus-like genome DCCV-1, complete genome"
NC_030465.1," Circovirus-like genome DCCV-2, complete genome"
NC_030467.1," Circovirus-like genome DCCV-3, complete genome"
NC_030470.1," Circovirus-like genome DCCV-4, complete genome"
NC_030473.1," Circovirus-like genome DCCV-5, complete genome"
NC_030478.1," Circovirus-like genome DCCV-6, complete genome"
NC_030455.1," Circovirus-like genome DCCV-7, complete genome"
NC_030457.1," Circovirus-like genome DCCV-8, complete genome"
NC_030459.1," Circovirus-like genome DCCV-9, complete genome"
NC_030471.1," Circovirus-like genome DHCV-1, complete genome"
NC_030474.1," Circovirus-like genome DHCV-2, complete genome"
NC_030477.1," Circovirus-like genome DHCV-3, complete genome"
NC_030456.1," Circovirus-like genome DHCV-5, complete genome"
NC_030475.1," Circovirus-like genome DHCV-6, complete genome"
NC_013023.1," Circovirus-like genome RW-A, complete genome"
NC_013024.1," Circovirus-like genome RW-B, complete genome"
NC_013025.1," Circovirus-like genome RW-C, complete genome"
NC_013026.1," Circovirus-like genome RW-D, complete genome"
NC_013027.1," Circovirus-like genome RW-E, complete genome"
NC_013030.2," Circovirus-like genome SAR-A, complete genome"
NC_013018.1," Circovirus-like genome SAR-B, complete genome"
NC_034210.1," Circovirus sp. isolate DaiShan, complete genome"
NC_014360.1," Circulifer tenellus virus 1, complete genome"
NC_047823.1," Citrobacter phage CF1 DK-2017, complete genome"
NC_042067.1," Citrobacter phage CF1 ERZ-2017, complete genome"
NC_023576.1, Citrobacter phage CR44b complete genome
NC_023548.1, Citrobacter phage CR8 complete genome
NC_027988.2," Citrobacter phage CVT22, complete genome"
NC_029013.1," Citrobacter phage IME-CF2, complete genome"
NC_028755.1," Citrobacter phage Margaery, complete genome"
NC_028857.1," Citrobacter phage Merlin, complete genome"
NC_028247.1," Citrobacter phage Michonne, complete genome"
NC_025414.1," Citrobacter phage Miller, complete genome"
NC_027293.1," Citrobacter phage Moogle, complete genome"
NC_027331.1," Citrobacter phage Moon, complete genome"
NC_041977.1," Citrobacter phage Mordin, complete genome"
NC_028880.1," Citrobacter phage phiCFP-1, complete genome"
NC_048065.1," Citrobacter phage Sazh, complete genome"
NC_031066.1," Citrobacter phage SH1, complete genome"
NC_031092.1," Citrobacter phage SH2, complete genome"
NC_031123.1," Citrobacter phage SH3, complete genome"
NC_031018.1," Citrobacter phage SH4, complete genome"
NC_031057.1," Citrobacter phage vB_CfrM_CfP1, complete genome"
NC_047920.1," Citrobacter phage vB_CroP_CrRp3, complete genome"
NC_027350.1," Citrobacter virus Stevie, complete genome"
NC_003539.1," Citrus viroid IV virus, complete genome"
NC_001651.1," Citrus bent leaf viroid, complete genome"
NC_018151.1," Citrus chlorotic dwarf associated virus, complete genome"
NC_035759.1," Citrus concave gum-associated virus isolate CGW2 segment RNA1, complete sequence"
NC_035454.1," Citrus concave gum-associated virus isolate CGW2 segment RNA2, complete sequence"
NC_003264.1," Citrus dwarfing viroid, complete genome"
NC_023153.1," Citrus endogenous pararetrovirus clone CB16-3, complete genome"
NC_001464.1," Citrus exocortis viroid, complete genome"
NC_003877.1," Citrus leaf blotch virus, complete genome"
NC_003548.1," Citrus leaf rugose virus RNA 1, complete sequence"
NC_003547.1," Citrus leaf rugose virus RNA 2, complete sequence"
NC_003546.1," Citrus leaf rugose virus RNA 3, complete sequence"
NC_038848.1," Citrus leprosis virus C2 isolate L147V1 segment RNA1, complete sequence"
NC_038849.1," Citrus leprosis virus C2 isolate L147V1 segment RNA2, complete sequence"
NC_008169.1," Citrus leprosis virus C RNA-1, complete genome"
NC_008170.1," Citrus leprosis virus C RNA-2, complete genome"
NC_006314.1," Citrus psorosis virus RNA1, complete genome"
NC_006315.1," Citrus psorosis virus RNA2, complete genome"
NC_006316.1," Citrus psorosis virus RNA3, complete genome"
NC_006950.1," Citrus sudden death-associated virus, complete genome"
NC_001661.1," Citrus tristeza virus, complete genome"
NC_009537.1," Citrus variegation virus RNA1, complete sequence"
NC_009538.1," Citrus variegation virus RNA2, complete sequence"
NC_009536.1," Citrus variegation virus RNA 3, complete genome"
NC_021564.1," Citrus vein enation virus, isolate VE-1, complete genome"
NC_004359.1," Citrus viroid VI, complete genome"
NC_010165.1," Citrus viroid V, complete genome"
NC_003382.1," Citrus yellow mosaic virus, complete genome"
NC_040311.1," Citrus yellow vein-associated virus isolate YV920, complete genome"
NC_026592.1," Citrus yellow vein clearing virus isolate CQ, complete genome"
NC_024704.1," Cladosporium cladosporioides virus 1 putative RNA-dependent RNA polymerase gene, complete cds"
NC_024705.1," Cladosporium cladosporioides virus 1 segment RNA2 hypothetical protein gene, complete cds"
NC_024706.1," Cladosporium cladosporioides virus 1 segment RNA3 hypothetical protein gene, complete cds"
NC_024707.1," Cladosporium cladosporioides virus 1 segment RNA4 hypothetical protein gene, complete cds"
NC_024708.1," Cladosporium cladosporioides virus 1 segment RNA5 hypothetical protein gene, complete cds"
NC_043491.1," Cladosporium fulvum T-1 virus LTR-retrotransposon encoding homologues to retroviral gag, pol, and env genes"
NC_008293.1," Clanis bilineata nucleopolyhedrosis virus, complete genome"
NC_038912.1," Classical swine fever virus, strain Alfort/187 complete genome"
NC_002657.1," Classical swine fever virus, complete genome"
NC_013698.1," Clavibacter phage CMP1, complete genome"
NC_023549.1," Clavibacter phage CN1A, complete genome"
NC_033777.1," Clematis chlorotic mottle virus, complete genome"
NC_040777.1, Cleome droserifolia amalgavirus 1 strain CdAV1-WUR genomic sequence
NC_015397.1," Cleome golden mosaic virus DNA-A, complete genome"
NC_014646.1," Cleome leaf crumple virus associated DNA 1, complete genome"
NC_016578.1," Cleome leaf crumple virus DNA-A, complete genome"
NC_016572.1," Cleome leaf crumple virus DNA-B, complete genome"
NC_010713.1," Clerodendrum golden mosaic virus DNA-A, complete sequence"
NC_010714.1," Clerodendrum golden mosaic virus DNA-B, complete sequence"
NC_009451.1," Clerodendron yellow mosaic virus, complete genome"
NC_043648.1," Clerodendrum chlorotic spot virus isolate Prb1 segment RNA1, complete sequence"
NC_043649.1," Clerodendrum chlorotic spot virus isolate Prb1 segment RNA2, complete sequence"
NC_011346.1," Clerodendrum golden mosaic China virus DNA A, complete genome"
NC_011347.1," Clerodendrum golden mosaic China virus DNA B, complete genome"
NC_038876.1," Clerodendrum golden mosaic Jiangsu virus complete DNA-A genome, isolate YX2"
NC_017003.1," Clitocybe odora virus, complete genome"
NC_016519.1," Clitoria yellow mottle virus, complete genome"
NC_034561.1, UNVERIFIED: Clo Mor virus isolate ScotAr7 segment L cRNA sequence
NC_034554.1, UNVERIFIED: Clo Mor virus isolate ScotAr7 segment M cRNA sequence
NC_034562.1, UNVERIFIED: Clo Mor virus isolate ScotAr7 segment S cRNA sequence
NC_015398.1," Clostera anachoreta granulovirus, complete genome"
NC_038371.1," Clostera anastomosis granulovirus B, complete genome"
NC_022646.1," Clostera anastomosis granulovirus Henan, complete genome"
NC_024144.1, Clostridium phage CDMH1 complete genome
NC_007581.1," Clostridium phage c-st, complete genome"
NC_019523.1," Clostridium phage phi24R, complete genome"
NC_003524.1," Clostridium phage phi3626, complete genome"
